,name,lii,bii,vmag,ra_deg,dec_deg,cluster_id
1075,HIP 5571  ,129.18131561,-41.59407302,4.66,17.86330901,21.03467568,41
1076,HIP 44626 ,286.19078894,-15.4295601,4.66,136.40992522,-70.53852074,68
1077,HIP 53295 ,171.15626971,61.35329382,4.66,163.49460834,43.19001538,84
1078,HIP 42806 ,204.16544428,33.72716312,4.66,130.82172127,21.46859609,54
1079,HIP 31978 ,202.93630803,2.19849578,4.66,100.24442101,9.89576021,74
1080,HIP 62012 ,301.4311368,14.03293712,4.66,190.6481714,-48.81303493,58
1081,HIP 98543 ,65.30041028,-1.34036565,4.66,300.27504217,27.75356392,79
1082,HIP 33302 ,231.43817228,-8.14726485,4.66,103.90582904,-20.13659348,66
1083,HIP 76705 ,338.18817965,16.69314954,4.66,234.94156188,-34.41189273,13
1084,HIP 8497  ,165.48238772,-68.60814206,4.66,27.39662961,-10.68618074,34
1085,HIP 90135 ,21.81534249,2.03366996,4.66,275.91480755,-8.93451038,33
1086,HIP 89678 ,5.18460966,-5.29324919,4.66,274.51328312,-27.04263452,63
1087,HIP 35205 ,240.58338112,-7.30189467,4.66,109.14583928,-27.88127313,66
1088,HIP 88567 ,1.57579206,-3.9795638,4.66,271.2550938,-29.5800762,63
1089,HIP 88128 ,42.62296118,18.71643472,4.67,270.01425282,16.75094481,1
1090,HIP 28910 ,221.50862192,-16.63783778,4.67,91.53889172,-14.93528629,85
1091,HIP 90595 ,17.46304327,-1.78888891,4.67,277.29938301,-14.56580499,63
1092,HIP 5742  ,129.37273331,-38.00880095,4.67,18.43723014,24.58376482,41
1093,HIP 45075 ,151.20570437,39.4234148,4.67,137.72887992,63.51378087,26
1094,HIP 103738,12.342832,-40.3420333,4.67,315.32275695,-32.25776681,4
1095,HIP 40167 ,205.30100287,25.53093023,4.67,123.05295353,17.64813756,51
1096,HIP 21683 ,181.99463213,-19.97373598,4.67,69.81854938,15.9180242,67
1097,HIP 16244 ,147.44604749,-5.69607801,4.67,52.34179296,49.50901919,62
1098,HIP 91919 ,68.84850088,18.19790135,4.67,281.08473883,39.66997686,64
1099,HIP 96100 ,101.30709825,21.87972341,4.67,293.08577692,69.66540172,55
1100,HIP 19811 ,159.45067986,-7.5399774,4.67,63.72212566,40.48372394,5
1101,HIP 8928  ,293.92587095,-48.35538385,4.68,28.73339519,-67.64748114,11
1102,HIP 7294  ,128.35190421,-3.19173559,4.68,23.48302496,59.23209665,14
1103,HIP 43878 ,271.61578349,-4.78607008,4.68,134.0803251,-52.72351071,46
1104,HIP 52098 ,195.29670672,60.84868693,4.68,159.68005265,31.97622008,84
1105,HIP 9677  ,224.88774116,-73.77805167,4.68,31.12262534,-29.29683966,34
1106,HIP 106786,46.44992149,-40.34611542,4.68,324.43767522,-7.85414212,53
1107,HIP 66234 ,104.99358866,66.58696234,4.68,203.61405606,49.01590606,12
1108,HIP 96683 ,64.95085122,3.97078235,4.68,294.84418456,30.1532335,79
1109,HIP 66006 ,320.77712558,55.20563964,4.68,202.99144179,-6.25571065,36
1110,HIP 13879 ,148.04340274,-16.92076972,4.68,44.69021034,39.66282739,60
1111,HIP 47310 ,230.15663297,38.88000308,4.68,144.6141046,4.64941422,54
1112,HIP 49029 ,230.00941438,45.26191523,4.68,150.05343468,8.04427686,9
1113,HIP 112211,41.88001705,-59.52209561,4.68,340.89688564,-18.83030716,15
1114,HIP 80047 ,312.41619595,-19.89382061,4.68,245.08681283,-78.69565609,39
1115,HIP 20732 ,180.98926864,-23.12100699,4.69,66.65156991,14.71385764,67
1116,HIP 39211 ,222.35563828,14.81294063,4.69,120.30540155,-1.39242418,24
1117,HIP 108870,336.20737783,-48.03908611,4.69,330.82266498,-56.77980602,22
1118,HIP 62268 ,302.22747854,1.88264663,4.69,191.40798434,-60.98116057,81
1119,HIP 52102 ,286.65265826,-0.5710686,4.69,159.68755215,-59.18299905,37
1120,HIP 116389,343.06730839,-68.07458363,4.69,353.76887742,-42.61510105,82
1121,HIP 37173 ,240.65224806,-1.8359762,4.69,114.57519746,-25.36478805,66
1122,HIP 38089 ,260.73204885,-10.6595376,4.69,117.08436527,-47.07753199,23
1123,HIP 107136,95.48097308,-1.30093974,4.69,325.52358201,51.1896271,7
1124,HIP 24813 ,167.67793643,1.54082286,4.69,79.78365993,40.10066732,45
1125,HIP 104521,59.93311491,-24.7626772,4.7,317.58529617,10.13194861,65
1126,HIP 56633 ,274.24961309,48.86164628,4.7,174.17061875,-9.80225368,17
1127,HIP 113116,119.9516377,22.16471308,4.7,343.60160144,84.34611856,56
1128,HIP 98066 ,14.86572219,-25.04233023,4.7,298.95927101,-26.29968718,4
1129,HIP 82671 ,343.02754072,0.86999372,4.7,253.49886366,-42.36201968,19
1130,HIP 56922 ,286.71538768,25.87424395,4.7,175.05341839,-34.7446553,57
1131,HIP 24927 ,223.35239138,-29.07434693,4.7,80.11213225,-21.23973932,85
1132,HIP 91726 ,23.83306446,-2.09805577,4.7,280.56842553,-9.05255357,33
1133,HIP 116247,47.93029733,-71.12827594,4.7,353.31927128,-20.91452506,15
1134,HIP 23693 ,266.03399145,-36.71571881,4.71,76.37787652,-57.47298928,42
1135,HIP 57283 ,281.53466341,41.73418255,4.71,176.19066226,-18.35061467,17
1136,HIP 63945 ,305.47029412,14.33533597,4.71,196.56970994,-48.46325358,58
1137,HIP 68191 ,310.19057449,-1.75187238,4.71,209.41223681,-63.68661603,43
1138,HIP 25984 ,175.76635015,-0.61202185,4.71,83.18197584,32.1920314,20
1139,HIP 16245 ,278.35253234,-45.93635072,4.71,52.34244352,-62.93843436,75
1140,HIP 13954 ,168.20590969,-42.41401034,4.71,44.92873469,8.90740111,8
1141,HIP 105140,13.20197085,-43.80562118,4.71,319.48436063,-32.17248551,53
1142,HIP 45902 ,254.80713629,16.71504062,4.71,140.37332838,-25.96541642,72
1143,HIP 46026 ,257.25917058,15.03850448,4.71,140.80140137,-28.83392305,72
1144,HIP 25737 ,204.3053023,-18.61707661,4.71,82.43325647,-1.09217557,0
1145,HIP 114375,38.80588371,-66.53322161,4.71,347.47865379,-22.45759248,15
1146,HIP 97938 ,47.81290314,-9.85448335,4.71,298.56175736,8.46165027,31
1147,HIP 22667 ,185.42769085,-18.38973858,4.71,73.13318214,14.25077828,67
1148,HIP 58867 ,297.64398121,-0.77873153,4.72,181.08015725,-63.16571094,10
